advisee,advisor,possibility,collaborate_times,start_year
Maurizio Pighin,Giorgio Brajnik,0.715622,1,2000,2000,1
Juan Jose Fons,Oscar Pastor,0.684054,4,2000,2000,1,2001,3
Gianfranco Bilardi,Franco P. Preparata,0.97671,10,1984,1984,2,1985,3,1986,2,1987,1,1989,1,1990,1
D. Crouse,James A. Perreault,0.572776,1,1995,1995,1
Matas Sileikis,Andrzej Dudek,0.707306,2,2013,2013,1,2015,1
Arpad Kelemen,Athanasios V. Vasilakos,0.942568,2,2008,2008,1,2009,1
Yuzhuo Zhong,Shipeng Li,0.762004,7,2001,2001,2,2002,3,2003,2
Beverly Coleman,Steven C. Horii,0.684054,1,2002,2002,1
David Ruiz 0003,Mateu Villaret,0.947492,1,2009,2009,1
David Ruiz 0002,Sarath Kodagoda,0.922508,1,2010,2010,1
Edy Tri Baskoro,Mirka Miller,0.943888,4,1995,1995,1,1998,1,2000,1,2002,1
Zaiji Yuan,Yutian Liu,0.684054,1,2009,2009,1
Marek Braun,Viera Rozinajová,0.726368,1,2008,2008,1
D. Imbert,S. McNamara,0.92983,2,2012,2012,1,2015,1
Toshihiko Ryu,Y. Ito,0.90941,1,1984,1984,1
Tobias Schaeffter,Volker Rasche,0.940834,1,2003,2003,1
A. W. Vreman,J. G. M. Kuerten,0.650329,1,2016,2016,1
Yosu Gorronogoitia,Freddy Lécué,0.976367,2,2010,2010,2
A. Aktta Patel,A. Ant Ozok,0.71083,1,2011,2011,1
Jinfeng Hu,Ming Li,0.947492,5,2003,2003,1,2004,3,2005,1
Gerald M. Saidel,Raymond F. Muzic Jr.,0.911407,2,1996,1996,1,2003,1
Yuchan Yi,C. K. Shum,0.684054,1,2005,2005,1
Jim Sweeney,Mark B. Yeary,0.726368,1,2003,2003,1
Hilary Tunley,David S. Young,0.9616,3,1994,1994,2,1995,1
Keith T. Mason,Bo Huang 0001,0.684054,2,2001,2001,2
Barbara Rizzi,Alessandro Sarti,0.947492,6,2008,2008,2,2009,1,2010,3
Kazuko Hirose,Ryo Hashimoto,0.976367,1,2010,2010,1
Akitaka Andoh,Tomotaka Itoh,0.864861,1,1998,1998,1
David Kurlander,Steven Feiner,0.97671,5,1988,1988,1,1991,1,1992,2,1993,1
Catia Dias,Leonel Morgado,0.931811,1,2011,2011,1
Izabela Grasland,Bertrand Chupeau,0.684054,1,2003,2003,1
Yuntian Wu,Shuling Li,0.926378,1,2011,2011,1
Richard Sidle,Wolfgang Lehner,0.726368,1,2000,2000,1
Akihiko Fujii,Hiroyuki Yoshida,0.684054,2,2008,2008,1,2010,1
Marco De Sario,Sergio Cesare Brofferio,0.590036,1,1991,1991,1
Felipe Acebes,Belarmino Pulido Junquera,0.684054,1,2001,2001,1
Arielle Lasry,Michael W. Carter,0.940834,1,2007,2007,1
Anjun Su,Xiaohui Yuan,0.726368,1,2009,2009,1
B. P. Divakar,K. F. Kwok,0.940834,1,2009,2009,1
Ryoko Shimada,Hadis Morkoç,0.926378,1,2010,2010,1
Deepu C. Thomas,Chang-Gun Lee,0.940834,1,2005,2005,1
Enrico Martinelli,P. Ciompi,0.738819,1,1978,1978,1
Andrew J. Tatem,Mark S. Nixon,0.940834,2,2001,2001,1,2003,1
Pieter S. Kritzinger,Heinz Beilner,0.517998,1,1976,1976,1
Daniel F. Martin,Daniel T. Graves,0.794454,1,2008,2008,1
Bruce Rogers,Dale A. Hunscher,0.684054,1,2009,2009,1
Morteza Ansari Dogaheh,Mohammad Eshghi,0.947492,1,2007,2007,1
Taro Suzuki,Aart Middeldorp,0.958481,3,1995,1995,1,2001,1,2002,1
Martin A. Walter,Roman Borisyuk,0.940834,2,2003,2003,1,2004,1
Zanda Serzane,Modris Greitans,0.922508,1,2010,2010,1
Blazej Bartyzel,Andreas Raabe,0.726368,1,2005,2005,1
Ermes Thuegaz,Raman Kazhamiakin,0.684054,2,2007,2007,2
Constance L. Wood,Arnold J. Stromberg,0.684054,3,2003,2003,1,2004,1,2006,1
A. J. Dixon,B. A. Sexton,0.832159,1,2009,2009,1
Angela W. Ma,Karshi F. Hasanov,0.726368,1,2008,2008,1
Jeff Andrews,Nick Baker,0.947492,1,2006,2006,1
Konstantin Kostov,Jorma Kyyrä,0.872541,2,2004,2004,1,2005,1
Jeongsik Jeong,Inkyu Lee,0.940834,2,2008,2008,1,2010,1
Seyed Morteza Ayatollahi,Hossein Ziaei Nafchi,0.92983,3,2012,2012,1,2013,2
Natalia L. Komarova,Craig J. Thalhauser,0.988726,1,2011,2011,1
Tie Qi Chen,Yi Lu,0.959586,5,1998,1998,2,1999,1,2000,1,2002,1
Anton Osokin,Dmitry P. Vetrov,0.947492,13,2009,2009,1,2010,1,2011,2,2012,1,2014,3,2015,5
Joanna Tereszczuk,Ewa Kublik,0.684054,1,2007,2007,1
Huansheng Zhang,Lixin Gao,0.684054,4,2008,2008,4
Gary Oftedahl,Karen A. Monsen,0.922508,1,2012,2012,1
Suhas Kulhalli,Shih-Tsang Fu,0.832159,1,2004,2004,1
Jonathan E. Atkins,Martin Middendorf,0.903522,1,1996,1996,1
Yan Liu 0008,Gavriel Salvendy,0.947492,3,2006,2006,1,2007,2
Yan Liu 0009,Nancy Wilkins-Diehr,0.928809,2,2009,2009,2
G. Neelakantan Kartha,Vladimir Lifschitz,0.82083,3,1994,1994,1,1995,1,1997,1
Yan Liu 0002,Jaime G. Carbonell,0.947492,10,2002,2002,1,2003,1,2004,2,2005,2,2006,1,2007,2,2009,1
Sekhar Darbha,Santosh Pande,0.951081,2,1996,1996,1,1998,1
Giovanni Milanesi,Stefano Tubaro,0.940834,2,2002,2002,2
Yan Liu 0006,Qiang Wang,0.947492,9,2006,2006,4,2007,3,2012,1,2013,1
Yan Liu 0007,Fukang Fang,0.832159,5,2007,2007,1,2009,4
Yan Liu 0004,John R. Kender,0.942568,5,2003,2003,3,2004,1,2007,1
Jacek J. Dusza,Vicente Serradell,0.684054,1,2000,2000,1
Enping Shen,Zuobing Fan,0.872541,1,2009,2009,1
Kil-Hyun Nam,T. R. N. Rao,0.90941,1,1986,1986,1
Michael S. Lam,Paul R. Wilson,0.926934,3,1991,1991,1,1992,2
Chutima Boonthum,Irwin B. Levinstein,0.947492,9,2006,2006,1,2007,1,2009,1,2010,6
Devin Ostrom,Huy Pham,0.684054,1,2006,2006,1
Hasan A. Yousef,Muhammad Shafiq,0.928809,2,2010,2010,1,2012,1
Yaron Silberman,Risto Miikkulainen,0.940834,1,2007,2007,1
Genevieve Marie Johnson,Sharon Elizabeth Bratt,0.942568,1,2009,2009,1
Orlando Baez,Mikael Goldstein,0.726368,1,2000,2000,1
Shizhen E. Wang,Joe W. Gray,0.922508,1,2010,2010,1
Chang-Guo Zhan,Donald W. Landry,0.794454,1,2005,2005,1
Yue-Jin Lv,Jin-hai Li,0.947492,2,2007,2007,1,2009,1
J. A. Sjogren,John P. Kearns,0.761561,1,1988,1988,1
Alan J. Izenman,Philip W. Harris,0.976367,1,2011,2011,1
Mario Rese,Gernot Gräfe,0.872541,4,2002,2002,1,2004,2,2006,1
Soledad Escolar,Jesús Carretero,0.947492,5,2004,2004,1,2006,1,2007,1,2008,1,2011,1
Pian Fu,Yu Wang,0.684054,1,2009,2009,1
Wei-ming Cheng,Cheng-hu Zhou,0.684054,1,2007,2007,1
Zhizhong Mao,Fuli Wang,0.684054,2,2008,2008,1,2012,1
Marc Darquennes,Urbain Swerts,0.572776,1,1996,1996,1
Yuan-Yu Tsai,Chung-Ming Wang,0.947492,8,2006,2006,6,2007,2
Cristiano Battisti,Cristiano Bonato Both,0.726368,1,2009,2009,1
Madhu K. Shankarapani,Srinivas Mukkamala,0.940834,5,2008,2008,2,2009,1,2010,1,2011,1
Masaru Ushijima,Shinto Eguchi,0.684054,2,2004,2004,1,2005,1
Boshu Liu,Yin Huang,0.684054,1,2005,2005,1
Eike Rietzel,Nassir Navab,0.684054,1,2007,2007,1
Hiroki Mano,Norio Tagawa,0.940834,1,2004,2004,1
Pedro Gabriel,Vasco Amaral,0.961934,1,2011,2011,1
Akira Higuchi,Naofumi Takagi,0.715622,1,2000,2000,1
Tadd B. Hughes,Harvey F. Silverman,0.530101,2,1998,1998,1,1999,1
Marek Parfieniuk,Alexander A. Petrovsky,0.947492,15,2003,2003,1,2004,2,2005,2,2006,4,2007,2,2008,1,2010,3
Margarita Mora,Pau Micó,0.976367,1,2010,2010,1
Herb Mattord,Catherine M. Beise,0.684054,1,2004,2004,1
Catharina Stoecklin-Serino,David B. Paradice,0.947492,1,2009,2009,1
Derek Chan,Matthew R. Guthaus,0.942568,1,2010,2010,1
Peter Priesching,Michael Mayer,0.684054,1,2005,2005,1
Yu-Fan Kuo,Cheng-Nan Chiu,0.726368,1,2007,2007,1
Yu-Ting Fu,Cheng-Chang Lien,0.684054,1,2006,2006,1
Seungok Choi,Jeehyong Lee,0.684054,1,2007,2007,1
Jarkko Hyysalo,Maarit Tihinen,0.940834,1,2006,2006,1
Ilya Sochenkov,Ilya Tikhomirov,0.926127,5,2011,2011,1,2013,1,2014,2,2016,1
Lynell E. Cannell,Musa R. Unmehopa,0.940834,1,2003,2003,1
Rainer Wohlmuth,Adam Pollard,0.684054,1,2006,2006,1
P. Demont,Philippe Monfraix,0.922508,1,2011,2011,1
Markus Kirchberg,Klaus-Dieter Schewe,0.947492,10,2001,2001,1,2003,1,2004,2,2005,1,2006,3,2007,1,2008,1
Eric Van Wyk,Oege de Moor,0.835999,1,1999,1999,1
Sanguk Kim,Youngmi Kim Pak,0.527573,1,2011,2011,1
Nicolas-Alexander Tatlas,John Mourjopoulos,0.940834,4,2005,2005,1,2006,2,2007,1
Sudipta Rakshit,Ratan K. Guha,0.947492,4,2001,2001,1,2004,1,2005,1,2006,1
Dionysia Kontotasiou,Charalampos Bratsas,0.977532,3,2011,2011,2,2012,1
Kathleen M. Mutch,William B. Thompson,0.97671,3,1982,1982,1,1985,2
Marco Lackovic,Paolo Trunfio,0.947492,7,2008,2008,1,2009,2,2010,1,2013,2,2014,1
Sibo Yang,Abderrafiaa Koukam,0.940834,1,2008,2008,1
Gordon Wyeth,David Collins,0.856012,2,2000,2000,2
Martin Peters,Christopher Brink,0.861925,6,2012,2012,2,2013,2,2014,2
Alexander E. Fiterman,Vadim G. Timkovsky,0.947492,1,2001,2001,1
Hong-E Ren,Yuanyuan Jiao,0.976367,1,2011,2011,1
Nur Azzah Abu Bakar,Jennifer Sampson,0.684054,1,2009,2009,1
Diethard Mattanovich,Alexandra Graf,0.922508,1,2010,2010,1
Rhan Ha,Hojung Cha,0.902503,2,1999,1999,1,2000,1
Benjamin Huhle,Achim J. Lilienthal,0.928809,1,2008,2008,1
Lina Paskeviciute,Albertas Caplinskas,0.726368,1,2008,2008,1
Paolo Mazzoni,Monica Bianchini,0.684054,1,2003,2003,1
Carlos Cernuda,Jürgen Kasberger,0.792455,2,2012,2012,1,2013,1
Yifan Ge,Yinan Jing,0.922508,1,2011,2011,1
Boguslaw Cyganek,Jan Borgosz,0.872541,14,2001,2001,2,2002,1,2003,6,2004,5
Chaochen Zhou,Dang Van Hung,0.806085,1,1995,1995,1
Kalyan Kidambi,Ravi Sankar,0.917101,2,1995,1995,1,1996,1
J. M. Van Kimmenade,P. H. van Knippenberg,0.761561,1,1983,1983,1
Ole Lehrmann Madsen,Peter Kornerup,0.517998,1,1980,1980,1
Iain G. Johnston,Nick S. Jones,0.961934,1,2012,2012,1
YoHan Park,YoungHo Park,0.977532,3,2010,2010,1,2013,2
Maurizio Iocco,Arrigo Palumbo,0.684054,2,2009,2009,1,2014,1
Neeraj Deshmukh,Joseph Picone,0.530101,4,1996,1996,1,1997,1,1998,1,1999,1
Xianfeng Yang,Qi Tian,0.947492,6,2004,2004,1,2005,2,2007,2,2010,1
Zhen Xue,Liangliang Zhang,0.929106,1,2011,2011,1
Xiangru Chen,Yong Yu,0.928809,1,2011,2011,1
Isabelle Augenstein,Anna Lisa Gentile,0.921425,6,2013,2013,6
Raymond Couture,Pierre L'Ecuyer,0.943888,4,1993,1993,2,1995,1,1998,1
Bijaya Laxmi Panigrahi,Gnaneshwar Nelakanti,0.989288,5,2010,2010,1,2011,2,2012,1,2013,1
Michael P. Gilroy,Konstantinos Sasloglou,0.684054,1,2009,2009,1
Sunit Mangalvedhekar,Biplab Sarkar,0.572776,1,1997,1997,1
Peixi Peng,Teng Xu 0002,0.956236,1,2012,2012,1
Mario del Valle,Miguel Katrib,0.684054,1,2002,2002,1
Joo-Yeon Hwang,Min-Cheol Hong,0.947492,1,2009,2009,1
Franziskus Timmermann,Michael Kempf,0.893682,1,1991,1991,1
Aoife Power,Phil Ellis,0.684054,1,2004,2004,1
Stuart P. Goring,Antonia J. Jones,0.940834,1,2007,2007,1
Yiqing Shen,Gecheng Zha,0.942568,4,2009,2009,1,2010,1,2011,1,2012,1
Ai-Fan Ling,Feng-Min Xu,0.832159,1,2009,2009,1
Djamila Medjahed Gamaz,Houssem Eddine Gueziri,0.85565,1,2010,2010,1
Patricia M. West,Carlo Curino,0.684054,1,2005,2005,1
Sandra Moral,Alberto L. Sangiovanni-Vincentelli,0.684054,1,2000,2000,1
Viktor F. S. Saboia,Miguel Franklin de Castro,0.684054,1,2006,2006,1
Victor Berman,Erich Marschner,0.726368,1,2004,2004,1
Jan Vana,Martin Drahanský,0.926127,7,2010,2010,1,2011,1,2012,2,2013,1,2014,1,2015,1
Kathrin Hofmann,Wilfried Reiners,0.947492,1,2007,2007,1
Krishna Chaitanya T.,Jai Ganesh,0.988726,1,2011,2011,1
Carles Garrigues,Joan Borrell,0.940834,3,2008,2008,1,2009,1,2010,1
Daniel Xavier de Sousa,Patrick Valduriez,0.940834,1,2008,2008,1
Samuel Oladapo,Andy Igonor,0.940834,1,2009,2009,1
Jinhui Liu,Paul D. Gader,0.82083,2,2000,2000,1,2002,1
Pierfranco Gennai,Roberto Meli,0.922508,1,2012,2012,1
Yu-Ren Ju,Yaw-Huei Chen,0.726368,1,2009,2009,1
Jennifer Kay,Julius Etzl,0.864861,1,1998,1998,1
Aruna Sankaranarayanan,Maja J. Mataric,0.715622,1,1998,1998,1
Chongjun Zhu,Lifeng Xu,0.947492,1,2007,2007,1
Masita Jalil,Shahrul Azman Mohd. Noah,0.947492,1,2007,2007,1
Buhwan Jung,Hyunbo Cho,0.684054,1,2002,2002,1
Jane Acheson,Robert B. Allen,0.726368,1,2000,2000,1
G. J. Liu,J. Qiu,0.940834,1,2008,2008,1
Bijun Luo,Guofeng Dong,0.832159,1,2009,2009,1
James TenEyck,G. Sampath,0.82083,3,1998,1998,1,2001,1,2005,1
Jian-Yun Shang,Lei Yang,0.726368,1,2007,2007,1
Bret M. Victor,Kurt Keutzer,0.947492,1,2001,2001,1
Irina Davidovskaja,Vitaly G. Levashenko,0.684054,1,2005,2005,1
